lot_id,status,after_days,after_snapshot,confidence,likely_company,dropped
19712846,all_filtered,243,2025-09,,,IMPLAUSIBLE: ЖК На Давыдковской (Новостройки -> Новостройки) || IMPLAUSIBLE: Центр информирования по переселению (Аварийные / справочные / экстренные службы -> Справочные)
19712849,all_filtered,243,2025-09,,,IMPLAUSIBLE: ЖК На Давыдковской (Новостройки -> Новостройки) || IMPLAUSIBLE: Центр информирования по переселению (Аварийные / справочные / экстренные службы -> Справочные)
19723010,all_filtered,239,2025-09,,,IMPLAUSIBLE: Центр информирования по переселению (Аварийные / справочные / экстренные службы -> Справочные)
19723012,all_filtered,239,2025-09,,,IMPLAUSIBLE: Центр информирования по переселению (Аварийные / справочные / экстренные службы -> Справочные)
19724449,added,249,2025-09,high,"Glory, салон красоты",
19724766,all_filtered,237,2025-09,,,IMPLAUSIBLE: Центр информирования по переселению (Аварийные / справочные / экстренные службы -> Справочные)
19725764,all_filtered,236,2025-09,,,IMPLAUSIBLE: Центр информирования по переселению (Аварийные / справочные / экстренные службы -> Справочные)
19729967,all_filtered,245,2025-09,,,"AREA(850m² vs 5-600): МосВет, ветеринарная клиника и ветеринарная аптека"
19731951,added,244,2025-09,high,"Строймастер, магазин сантехники",
19732022,all_filtered,224,2025-09,,,IMPLAUSIBLE: Центр информирования по переселению (Аварийные / справочные / экстренные службы -> Справочные)
19735421,added,193,2025-09,medium,"Магнит, супермаркет","IMPLAUSIBLE: Халва, постамат №4121 (Бытовые услуги -> Постаматы) || AREA(692m² vs 5-480): Ozon"
19735848,all_filtered,218,2025-09,,,"IMPLAUSIBLE: Фонд реновации, Центр информирования по переселению (Аварийные / справочные / экстренные службы, Жилищно-коммунал)"
19742510,added,207,2025-09,medium,"Московский городской центр дезинфекции, дезинфекционная станция №4 | Мединсайт, клиника | Buta, мини-гостиница",
19743629,added,216,2025-09,high,"Omelchenko Gallery, художественная галерея",
19746744,all_filtered,195,2025-09,,,IMPLAUSIBLE: Центр информирования по переселению (Аварийные / справочные / экстренные службы -> Справочные)
19746745,all_filtered,195,2025-09,,,IMPLAUSIBLE: Центр информирования по переселению (Аварийные / справочные / экстренные службы -> Справочные)
19746768,all_filtered,200,2025-09,,,IMPLAUSIBLE: Центр информирования по переселению (Аварийные / справочные / экстренные службы -> Справочные)
19746769,all_filtered,200,2025-09,,,IMPLAUSIBLE: Центр информирования по переселению (Аварийные / справочные / экстренные службы -> Справочные)
