lot_id,url,source,purchase_date,snapshot_label,days_after_purchase,confidence,likely_company,likely_usage,candidate_count
19728517,https://investmoscow.ru/tenders/tender/19728517,baseline,11.02.2025 17:00,2025-09,231,medium,"Ozon | Wildberries, пункт выдачи интернет-заказов",Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,2
19728518,https://investmoscow.ru/tenders/tender/19728518,baseline,11.02.2025 17:00,2025-09,231,medium,"Московское долголетие, центр московского долголетия и молодости | PёsDuke Grooming, груминг-салон",Центры творчества и досуга -> Культурно-досуговые центры для взрослых | Товары / услуги для животных -> Уход за животными,2
19731253,https://investmoscow.ru/tenders/tender/19731253,baseline,29.01.2025 17:00,2025-09,244,medium,"Ozon box, автоматизированный пункт выдачи | Гурман вкуса, продуктовый магазин | EnerGo, автомат аренды аккумуляторов для гаджетов",Бытовые услуги -> Постаматы | Продукты питания -> Продуктовые магазины | Средства связи -> Станции зарядки телефонов,3
19732022,https://investmoscow.ru/tenders/tender/19732022,baseline,18.02.2025 17:00,2025-09,224,high,Центр информирования по переселению,Аварийные / справочные / экстренные службы -> Справочные,1
19735421,https://investmoscow.ru/tenders/tender/19735421,baseline,21.03.2025 17:00,2025-09,193,medium,Ozon,Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,1
19735500,https://investmoscow.ru/tenders/tender/19735500,baseline,21.02.2025 17:00,2025-09,221,medium,Ozon,Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,1
19735502,https://investmoscow.ru/tenders/tender/19735502,baseline,21.02.2025 17:00,2025-09,221,medium,Ozon,Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,1
19735604,https://investmoscow.ru/tenders/tender/19735604,baseline,27.02.2025 17:00,2025-09,215,high,Ozon,Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,1
19735847,https://investmoscow.ru/tenders/tender/19735847,baseline,24.02.2025 17:00,2025-09,218,medium,"Магнит, супермаркет | Горздрав, аптека",Торговые комплексы -> Супермаркеты | Медицинские товары -> Аптеки,2
19735848,https://investmoscow.ru/tenders/tender/19735848,baseline,24.02.2025 17:00,2025-09,218,high,"Фонд реновации, Центр информирования по переселению","Аварийные / справочные / экстренные службы, Жилищно-коммунальные услуги -> Жилищно-коммунальные услуги, Справочные",1
19736734,https://investmoscow.ru/tenders/tender/19736734,baseline,04.02.2025 17:00,2025-09,238,medium,"Столички, аптека","Медицинские товары -> Аптеки, БАДы, Медицинские приборы, Ортопедические товары, Товары для реабилитации",1
19737097,https://investmoscow.ru/tenders/tender/19737097,baseline,24.02.2025 17:00,2025-09,218,medium,"Центр информирования по переселению | Wildberries, пункт выдачи интернет-заказов",Аварийные / справочные / экстренные службы -> Справочные | Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,2
19737098,https://investmoscow.ru/tenders/tender/19737098,baseline,24.02.2025 17:00,2025-09,218,medium,"Центр информирования по переселению | Wildberries, пункт выдачи интернет-заказов",Аварийные / справочные / экстренные службы -> Справочные | Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,2
19737100,https://investmoscow.ru/tenders/tender/19737100,baseline,24.02.2025 17:00,2025-09,218,medium,"Центр информирования по переселению | Wildberries, пункт выдачи интернет-заказов",Аварийные / справочные / экстренные службы -> Справочные | Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,2
19742519,https://investmoscow.ru/tenders/tender/19742519,baseline,13.03.2025 17:00,2025-09,201,high,"Складно, компания","Грузоперевозки / Транспортные услуги -> Складское хранение, Склады индивидуального хранения",1
19746744,https://investmoscow.ru/tenders/tender/19746744,baseline,19.03.2025 17:00,2025-09,195,high,Центр информирования по переселению,Аварийные / справочные / экстренные службы -> Справочные,1
19746745,https://investmoscow.ru/tenders/tender/19746745,baseline,19.03.2025 17:00,2025-09,195,high,Центр информирования по переселению,Аварийные / справочные / экстренные службы -> Справочные,1
19746754,https://investmoscow.ru/tenders/tender/19746754,baseline,19.03.2025 17:00,2025-09,195,medium,"Ozon | Wildberries, пункт выдачи интернет-заказов",Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,2
19746768,https://investmoscow.ru/tenders/tender/19746768,baseline,14.03.2025 17:00,2025-09,200,high,Центр информирования по переселению,Аварийные / справочные / экстренные службы -> Справочные,1
19746769,https://investmoscow.ru/tenders/tender/19746769,baseline,14.03.2025 17:00,2025-09,200,high,Центр информирования по переселению,Аварийные / справочные / экстренные службы -> Справочные,1
19746770,https://investmoscow.ru/tenders/tender/19746770,baseline,14.03.2025 17:00,2025-09,200,high,Центр информирования по переселению,Аварийные / справочные / экстренные службы -> Справочные,1
19746771,https://investmoscow.ru/tenders/tender/19746771,baseline,14.03.2025 17:00,2025-09,200,high,Центр информирования по переселению,Аварийные / справочные / экстренные службы -> Справочные,1
19746772,https://investmoscow.ru/tenders/tender/19746772,baseline,14.03.2025 17:00,2025-09,200,high,Центр информирования по переселению,Аварийные / справочные / экстренные службы -> Справочные,1
19746773,https://investmoscow.ru/tenders/tender/19746773,baseline,14.03.2025 17:00,2025-09,200,high,Центр информирования по переселению,Аварийные / справочные / экстренные службы -> Справочные,1
19746774,https://investmoscow.ru/tenders/tender/19746774,baseline,14.03.2025 17:00,2025-09,200,high,Центр информирования по переселению,Аварийные / справочные / экстренные службы -> Справочные,1
19746775,https://investmoscow.ru/tenders/tender/19746775,baseline,14.03.2025 17:00,2025-09,200,high,Центр информирования по переселению,Аварийные / справочные / экстренные службы -> Справочные,1
19746942,https://investmoscow.ru/tenders/tender/19746942,baseline,14.03.2025 17:00,2025-09,200,high,Центр информирования по переселению,Аварийные / справочные / экстренные службы -> Справочные,1
19748671,https://investmoscow.ru/tenders/tender/19748671,baseline,19.03.2025 17:00,2025-09,195,high,Центр информирования по переселению,Аварийные / справочные / экстренные службы -> Справочные,1
19748896,https://investmoscow.ru/tenders/tender/19748896,baseline,19.03.2025 17:00,2025-09,195,medium,Ozon | Бутик цветов,Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов | Спецмагазины -> Цветы,2
19748900,https://investmoscow.ru/tenders/tender/19748900,baseline,19.03.2025 17:00,2025-09,195,medium,"Ozon | Wildberries, пункт выдачи интернет-заказов",Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,2
19749222,https://investmoscow.ru/tenders/tender/19749222,baseline,19.03.2025 17:00,2025-09,195,high,Центр информирования по переселению,Аварийные / справочные / экстренные службы -> Справочные,1
19753311,https://investmoscow.ru/tenders/tender/19753311,baseline,25.03.2025 17:00,2025-09,189,medium,"Бери заряд!, станция зарядки телефонов",Средства связи -> Станции зарядки телефонов,1
