id,name,type,address,lat,lon
29430159,Школа №776,school,1-я Новокузьминская улица,55.7144452,37.7927937
29430209,Начальная школа - детский сад №1883,school,Рязанский проспект,55.7184371,37.8030253
29431666,Школа №797,school,Федеративный проспект,55.7548712,37.8224523
29446098,Центр образования №1637,school,улица Металлургов,55.7560708,37.7864197
29446275,Центр образования №1852,school,2-я Владимирская улица,55.7560122,37.7792385
29446299,Школа №681,school,1-я Владимирская улица,55.7589275,37.7757171
29446344,"Московская международная школа. Подразделение ""Планета Уран""",school,шоссе Энтузиастов,55.7633918,37.7813803
29451029,,school,Донецкая улица,55.6508977,37.7129595
29547281,ГБОУ СОШ №1793 СП1,school,Жулебинский бульвар,55.6839042,37.8478745
29601128,Интернат №53,school,Кирпичная улица,55.7767955,37.728609
29689770,Школа №1324,school,Федеративный проспект,55.755097,37.8201818
29696444,ЦРР №837,school,Верхняя Первомайская улица,55.7999375,37.7851728
29728292,,school,15-я Парковая улица,55.8090605,37.8210452
29728293,,school,15-я Парковая улица,55.807993,37.8222138
30049930,"Школа ""Вита""",school,Кастанаевская улица,55.7343311,37.4798654
30148992,,school,проспект Мира,55.9013562,37.4564114
30414740,Школа №22,school,Университетский проспект,55.6986533,37.5553316
30414751,Школа №1265,school,улица Фотиевой,55.6991038,37.5582731
30414756,"Лицей ""Вторая Школа""",school,улица Фотиевой,55.6978181,37.5563936
30433167,Школа №171,school,2-я Фрунзенская улица,55.7222711,37.5795407
30853347,Центр образования №775,school,Армавирская улица,55.6752927,37.7535069
30853467,"НОУ Школа ""Эрудит-2""",school,Краснодонская улица,55.6757566,37.7499035
31025606,"ЦДТ ""Царицыно""",school,улица Бехтерева,55.6308695,37.6522876
31025623,Школа №1640,school,улица Бехтерева,55.6323645,37.6519217
31653611,Лицей №504,school,Каширское шоссе,55.6678229,37.6270009
32556695,Школа №20,school,,55.9191776,37.8719059
32557702,Гимназия № 18 им. И.Я. Илюшина,school,,55.9092417,37.8721361
32561978,Гимназия №9,school,,55.9207415,37.8609271
